id;fullname;birtrthyear;deathyear;note
1;EXE;21163;86583;Montenegro deliverables
2;calculate;55517;5120;violet
3;Assurance;28246;88224;Islands UIC-Franc Concrete
4;directional orchestrate Dynamic;12230;48991;empower
5;Morocco;55236;68009;Key copying Mall
6;Cambridgeshire Rubber solution;12709;5572;schemas
7;Metal Horizontal Bedfordshire;22778;47305;transmitting
8;compressing cross-platform;65415;18953;Convertible innovate Investor
9;navigating Boliviano;16474;19492;Canada Table
10;tan Table schemas;51231;19968;payment reboot Pa'anga
