id;isbn;title;year;note;author_id
1;"978448175582X";Forward forecast Chips;77043;transmit;1
2;"979312404517X";Designer connect;55737;Accountability;2
3;"979097139938X";secondary Toys;81667;Books quantify;3
4;"6514061717";HTTP wireless optical;41196;Jordanian application withdrawal;4
5;"9787148834005";Coordinator Health Tools;88395;Soft;5
6;"1716977586";protocol Home Industrial;79272;Future-proofed;6
7;"141052807X";world-class (Keeling) primary;40972;Shilling;7
8;"077650057X";Health Paradigm;75226;Pakistan up;8
9;"979504259878X";optical HDD;6221;payment optical channels;9
10;"967457869X";Netherlands navigating neural-net;77616;Checking;10
